dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,238.080118,54.205605,252.595062,5.500614,-1.582003,0.037775,4.738807
0.200000,238.105868,53.168946,253.632041,5.184894,-1.578604,0.016994,4.735649
0.200000,238.127094,52.195358,254.605860,4.869095,-1.578993,-0.001941,4.732733
0.200000,238.144395,51.284794,255.516589,4.553646,-1.577246,0.008732,4.730048
0.200000,238.158319,50.437116,256.364381,4.238958,-1.573442,0.019023,4.727584
0.200000,238.169363,49.652109,257.149466,3.925426,-1.567658,0.028918,4.725333
0.200000,238.177973,48.929740,257.871887,3.612103,-1.566616,0.005212,4.723286
0.200000,238.184551,48.270063,258.531596,3.298547,-1.567778,-0.005813,4.721438
0.200000,238.189459,47.673024,259.128655,2.985294,-1.566264,0.007574,4.719782
0.200000,238.193017,47.138445,259.663246,2.672957,-1.561687,0.022883,4.718312
0.200000,238.195510,46.666337,260.135361,2.360572,-1.561925,-0.001191,4.717025
0.200000,238.197181,46.256641,260.545060,2.048498,-1.560372,0.007769,4.715915
0.200000,238.198244,45.909225,260.892477,1.737085,-1.557061,0.016553,4.714980
0.200000,238.198873,45.624490,261.177213,1.423679,-1.567033,-0.049858,4.714217
0.200000,238.199216,45.400133,261.401571,1.121787,-1.509459,0.287868,4.713619
0.200000,238.199386,45.231151,261.570553,0.844911,-1.384383,0.625381,4.713169
0.200000,238.199461,45.109315,261.692389,0.609181,-1.178651,1.028660,4.712846
0.200000,238.199490,45.026930,261.774774,0.411924,-0.986281,0.961847,4.712628
0.200000,238.199499,44.976256,261.825448,0.253372,-0.792761,0.967601,4.712494
0.200000,238.199500,44.949521,261.852183,0.133674,-0.598492,0.971344,4.712423
0.200000,238.199501,44.938938,261.862766,0.052916,-0.403790,0.973514,4.712395
0.200000,238.199501,44.936710,261.864994,0.011140,-0.208880,0.974549,4.712389
0.200000,238.199501,44.936710,261.864994,0.000000,-0.055698,0.765909,4.712389
